Date,team1,team2,team1_rs,team2_rs,team1_gn,team2_gn,team1_home_gn,team2_away_gn,team1_win,team1_wr,team1_home_wr,team2_wr,team2_away_wr,team1_total_rs,team2_total_rs,team1_avg_rs,team2_avg_rs,team1_home_rs,team2_away_rs,team1_avg_home_rs,team2_avg_away_rs
20160414,HOU,KCA,2,6,10.0,9.0,4.0,4.0,0,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,40.0,28.0,4.444444444444445,3.5,12.0,9.0,4.0,3.0
20160414,MIN,CHA,1,3,9.0,9.0,3.0,7.0,0,0.0,0.0,0.75,0.8333333333333334,13.0,31.0,1.625,3.875,1.0,23.0,0.5,3.8333333333333335
20160414,TBA,CLE,0,6,9.0,7.0,7.0,5.0,0,0.375,0.5,0.5,0.5,24.0,24.0,3.0,4.0,20.0,15.0,3.3333333333333335,3.75
20160414,TEX,BAL,6,3,11.0,9.0,4.0,4.0,1,0.5,0.3333333333333333,0.875,0.6666666666666666,42.0,42.0,4.2,5.25,10.0,20.0,3.3333333333333335,6.666666666666667
20160414,TOR,NYA,4,2,10.0,8.0,6.0,5.0,1,0.4444444444444444,0.4,0.5714285714285714,0.5,38.0,40.0,4.222222222222222,5.714285714285714,23.0,13.0,4.6,3.25
20160414,CHN,CIN,8,1,9.0,9.0,3.0,3.0,1,0.875,1.0,0.625,0.0,56.0,36.0,7.0,4.5,14.0,5.0,7.0,2.5
20160414,COL,SFN,11,6,9.0,10.0,6.0,6.0,1,0.5,0.4,0.6666666666666666,0.6,47.0,56.0,5.875,6.222222222222222,27.0,30.0,5.4,6.0
20160414,LAN,ARI,5,2,10.0,10.0,3.0,3.0,1,0.5555555555555556,0.5,0.3333333333333333,0.5,47.0,38.0,5.222222222222222,4.222222222222222,5.0,5.0,2.5,2.5
20160414,PHI,SDN,3,0,10.0,10.0,4.0,7.0,1,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5,26.0,37.0,2.888888888888889,4.111111111111111,8.0,37.0,2.6666666666666665,6.166666666666667
20160414,PIT,DET,4,7,10.0,8.0,5.0,4.0,0,0.5555555555555556,0.75,0.7142857142857143,1.0,35.0,42.0,3.888888888888889,6.0,18.0,22.0,4.5,7.333333333333333
20160414,SLN,MIL,7,0,9.0,9.0,3.0,3.0,1,0.5,0.5,0.5,0.5,52.0,28.0,6.5,3.5,14.0,7.0,7.0,3.5
20160414,WAS,ATL,6,2,8.0,9.0,6.0,4.0,1,0.8571428571428571,0.8,0.0,0.0,26.0,22.0,3.7142857142857144,2.75,19.0,5.0,3.8,1.6666666666666667
20160415,BOS,TOR,5,3,9.0,11.0,4.0,5.0,1,0.5,0.3333333333333333,0.5,0.5,44.0,42.0,5.5,4.2,16.0,15.0,5.333333333333333,3.75
20160415,CLE,NYN,5,6,8.0,9.0,3.0,3.0,0,0.5714285714285714,0.5,0.375,0.5,30.0,20.0,4.285714285714286,2.5,9.0,5.0,4.5,2.5
20160415,HOU,DET,1,0,11.0,9.0,5.0,5.0,1,0.3,0.25,0.75,1.0,42.0,49.0,4.2,6.125,14.0,29.0,3.5,7.25
20160415,MIN,ANA,5,4,10.0,10.0,4.0,4.0,1,0.0,0.0,0.5555555555555556,1.0,14.0,26.0,1.5555555555555556,2.888888888888889,2.0,14.0,0.6666666666666666,4.666666666666667
20160415,NYA,SEA,1,7,9.0,10.0,4.0,4.0,0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,42.0,32.0,5.25,3.5555555555555554,27.0,21.0,9.0,7.0
20160415,OAK,KCA,2,4,11.0,10.0,8.0,5.0,0,0.4,0.14285714285714285,0.7777777777777778,0.75,27.0,34.0,2.7,3.7777777777777777,16.0,15.0,2.2857142857142856,3.75
20160415,TBA,CHA,0,1,10.0,10.0,8.0,8.0,0,0.3333333333333333,0.42857142857142855,0.7777777777777778,0.8571428571428571,24.0,34.0,2.6666666666666665,3.7777777777777777,20.0,26.0,2.857142857142857,3.7142857142857144
20160415,TEX,BAL,5,11,12.0,10.0,5.0,5.0,0,0.5454545454545454,0.5,0.7777777777777778,0.5,48.0,45.0,4.363636363636363,5.0,16.0,23.0,4.0,5.75
20160415,CHN,COL,1,6,10.0,10.0,4.0,4.0,0,0.8888888888888888,1.0,0.5555555555555556,0.6666666666666666,64.0,58.0,7.111111111111111,6.444444444444445,22.0,20.0,7.333333333333333,6.666666666666667
20160415,LAN,SFN,7,3,11.0,11.0,4.0,7.0,1,0.6,0.6666666666666666,0.6,0.5,52.0,62.0,5.2,6.2,10.0,36.0,3.3333333333333335,6.0
20160415,MIA,ATL,3,6,8.0,10.0,3.0,5.0,0,0.42857142857142855,0.0,0.0,0.0,31.0,24.0,4.428571428571429,2.6666666666666665,10.0,7.0,5.0,1.75
20160415,PHI,WAS,1,9,11.0,9.0,5.0,3.0,0,0.5,0.75,0.875,1.0,29.0,32.0,2.9,4.0,11.0,7.0,2.75,3.5
20160415,PIT,MIL,4,8,11.0,10.0,6.0,4.0,0,0.5,0.6,0.4444444444444444,0.3333333333333333,39.0,28.0,3.9,3.111111111111111,22.0,7.0,4.4,2.3333333333333335
20160415,SDN,ARI,2,3,11.0,11.0,4.0,4.0,0,0.3,0.0,0.3,0.3333333333333333,37.0,40.0,3.7,4.0,0.0,7.0,0.0,2.3333333333333335
20160415,SLN,CIN,14,3,10.0,10.0,4.0,4.0,1,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.0,59.0,37.0,6.555555555555555,4.111111111111111,21.0,6.0,7.0,2.0
20160416,BOS,TOR,4,2,10.0,12.0,5.0,6.0,1,0.5555555555555556,0.5,0.45454545454545453,0.4,49.0,45.0,5.444444444444445,4.090909090909091,21.0,18.0,5.25,3.6
20160416,CLE,NYN,7,5,9.0,10.0,4.0,4.0,1,0.5,0.3333333333333333,0.4444444444444444,0.6666666666666666,35.0,26.0,4.375,2.888888888888889,14.0,11.0,4.666666666666667,3.6666666666666665
20160416,HOU,DET,3,5,12.0,10.0,6.0,6.0,0,0.36363636363636365,0.4,0.6666666666666666,0.8,43.0,49.0,3.909090909090909,5.444444444444445,15.0,29.0,3.0,5.8
