,eps1,eps2,bscore
171,1.1666666666666663,1.2999999999999998,0.2531839341563786
172,1.2,0.5,0.2513955144032904
173,1.2,0.6,0.2528336625514388
174,1.2,0.7,0.2531574897119325
175,1.2,0.8,0.2527363374485575
176,1.2,0.9,0.25261469135802306
177,1.2,0.95,0.2534058436213973
178,1.2,1.0,0.25171109053497726
179,1.2,1.05,0.2542302057613149
180,1.2,1.1,0.25262539094650016
181,1.2,1.15,0.2525434567901219
182,1.2,1.2,0.2525998353909452
183,1.2,1.3,0.2538937037037025
184,1.2,1.4,0.2650917695473239
185,1.2,1.5,0.2845680246913563
186,1.25,0.5,0.2521326748971176
187,1.25,0.55,0.2525806172839493
188,1.25,0.65,0.2516171604938258
189,1.25,0.75,0.25267588477366043
190,1.25,0.85,0.2508144444444431
191,1.25,0.9,0.2544957613168706
192,1.25,0.95,0.25315761316872243
193,1.25,1.0,0.25304219135802297
194,1.25,1.05,0.25287004115226197
195,1.25,1.1,0.2511599588477348
196,1.25,1.15,0.2531307544581602
197,1.25,1.2,0.2507611111111096
198,1.25,1.25,0.2537099094650189
199,1.25,1.3,0.2541342386831267
200,1.25,1.35,0.2573753292181053
201,1.25,1.4,0.2615641563785997
202,1.25,1.45,0.2724191358024675
203,1.25,1.5,0.28094316872427844
204,1.2777777777777777,1.3333333333333333,0.2540079761316876
205,1.3,0.5,0.2522423045267472
206,1.3,0.6,0.2522545267489698
207,1.3,0.7,0.2543288065843604
208,1.3,0.8,0.2530213991769529
209,1.3,0.9,0.2536839917695452
210,1.3,1.0,0.2520487242798332
211,1.3,1.1,0.2509434567901216
212,1.3,1.15,0.2542392181069934
213,1.3,1.2,0.25265734567901016
214,1.3,1.25,0.2517469958847715
215,1.3,1.3,0.2535278395061714
216,1.3,1.35,0.2565752674897107
217,1.3,1.4,0.26082281893003967
218,1.3,1.5,0.2783903703703696
219,1.35,0.55,0.2534160082304511
220,1.35,0.65,0.253436954732508
221,1.35,0.75,0.2530712345678987
222,1.35,0.85,0.2531662139917685
223,1.35,0.95,0.2511753086419738
224,1.35,1.05,0.2541084362139894
225,1.35,1.15,0.2522285596707804
226,1.35,1.2,0.2508826337448543
227,1.35,1.25,0.2532029629629614
228,1.35,1.3,0.2537279835390928
229,1.35,1.35,0.25650094650205646
230,1.35,1.4,0.2610890946502043
231,1.35,1.45,0.2688865020576113
232,1.3888888888888888,1.3666666666666667,0.2547205559670789
233,1.4,0.5,0.2523120164609035
234,1.4,0.6,0.2539983950617265
235,1.4,0.7,0.2518348559670761
236,1.4,0.8,0.2521446913580227
237,1.4,0.9,0.2525387654320972
238,1.4,1.0,0.2533649382716029
239,1.4,1.1,0.2521846502057596
240,1.4,1.15,0.254775185185184
241,1.4,1.2,0.2519211316872412
242,1.4,1.25,0.2522865843621384
243,1.4,1.3,0.25251800411522496
244,1.4,1.35,0.2550944032921797
245,1.4,1.4,0.2597817078189286
246,1.4,1.5,0.2763686008230439
247,1.45,0.55,0.2534160493827141
248,1.45,0.65,0.2527526748971175
249,1.45,0.75,0.2530169958847715
250,1.45,0.85,0.2538866255144015
251,1.45,0.95,0.2527209876543188
252,1.45,1.05,0.2529608230452653
253,1.45,1.15,0.2541129629629607
254,1.45,1.2,0.2520462551440314
255,1.45,1.25,0.2531866666666652
256,1.45,1.3,0.2526884773662545
257,1.45,1.35,0.2545035185185174
258,1.45,1.4,0.2590639094650199
259,1.45,1.45,0.266713539094649
260,1.5,0.5,0.2535231687242782
261,1.5,0.6,0.2529930452674876
262,1.5,0.7,0.2556559259259243
263,1.5,0.75,0.2524652263374465
264,1.5,0.8,0.2525915226337433
265,1.5,0.9,0.2534440329218095
266,1.5,1.0,0.2531911625514387
267,1.5,1.1,0.2521342798353889
268,1.5,1.15,0.2529092181069942
269,1.5,1.2,0.2506714609053483
270,1.5,1.25,0.2524648559670767
271,1.5,1.3,0.2542057613168708
272,1.5,1.35,0.2555626337448544
273,1.5,1.4,0.25729272702331873
274,1.5,1.5,0.272072849794237
